X1	X2	Y
-0.425	0.877	neg
-0.335	0.18	neg
-0.232	0.785	pos
-0.166	0.099	neg
-0.321	0.492	neg
0.287	0.649	neg
-0.277	0.16	neg
-0.189	0.805	pos
0.071	0.434	pos
-0.307	0.306	neg
-0.29	0.062	neg
-0.139	0.91	pos
-0.156	0.914	pos
0.442	0.151	neg
-0.494	0.976	neg
-0.25	0.961	pos
-0.049	0.681	pos
0.136	0.219	pos
0.325	0.242	neg
0.004	0.351	pos
-0.486	0.561	neg
-0.277	0.1	neg
-0.418	0.617	neg
-0.273	0.046	neg
0.286	0.379	neg
-0.146	0.078	neg
0.089	0.376	pos
-0.34	0.774	neg
0.284	0.994	pos
0.139	0.518	pos
0.134	0.113	neg
-0.112	0.421	pos
0.364	0.771	neg
-0.009	0.908	pos
0.015	0.191	pos
-0.056	0.974	pos
0.072	0.333	pos
0.041	0.338	pos
-0.355	0.084	neg
0.041	0.568	pos
0.366	0.408	neg
-0.029	0.937	pos
-0.013	0.86	pos
-0.486	0.054	neg
-0.382	0.44	neg
0.268	0.336	neg
-0.07	0.206	pos
0.341	0.436	neg
0.281	0.015	neg
0.249	0.102	neg
0.486	0.913	neg
-0.43	0.211	neg
-0.427	0.056	neg
0.192	0.047	neg
0.04	0.467	pos
-0.35	0.814	neg
0.164	0.362	pos
-0.064	0.642	pos
-0.176	0.597	pos
0.36	0.649	neg
-0.413	0.483	neg
0.232	0.049	neg
0.367	0.536	neg
-0.406	0.584	neg
0.038	0.319	pos
0.257	0.355	neg
0.271	0.802	pos
0.404	0.375	neg
-0.494	0.312	neg
0.289	0.722	neg
0.149	0.525	pos
0.376	0.988	neg
-0.166	0.695	pos
0.396	0.238	neg
-0.353	0.397	neg
-0.221	0.978	pos
0.459	0.427	neg
-0.149	0.059	neg
-0.15	0.409	pos
0.434	0.614	neg
0.134	0.369	pos
-0.27	0.248	neg
-0.115	0.907	pos
-0.019	0.258	pos
-0.069	0.162	pos
-0.241	0.436	neg
-0.449	0.838	neg
0.414	0.402	neg
-0.497	0.652	neg
-0.154	0.987	pos
-0.498	0.583	neg
0.253	0.394	neg
-0.275	0.569	neg
-0.418	0.75	neg
0.385	0.609	neg
0.09	0.71	pos
-0.49	0.732	neg
-0.28	0.05	neg
-0.258	0.431	neg
0.405	0.19	neg
-0.103	0.377	pos
-0.423	0.078	neg
0.279	0.885	pos
-0.068	0.465	pos
-0.309	0.044	neg
-0.233	0.971	pos
0.165	0.663	pos
-0.019	0.927	pos
-0.423	0.755	neg
-0.134	0.226	pos
-0.251	0.483	neg
-0.237	0.812	pos
-0.052	0.768	pos
0.464	0.518	neg
0.208	0.863	pos
-0.369	0.255	neg
0.491	0.621	neg
0.349	0.951	neg
-0.497	0.429	neg
-0.027	0.058	pos
-0.35	0.632	neg
-0.262	0.725	pos
0.076	0.44	pos
-0.401	0.93	neg
-0.178	0.042	neg
0.474	0.504	neg
0.173	0.052	neg
-0.344	0.928	neg
0.459	0.799	neg
-0.261	0.654	neg
0.032	0.113	pos
0.112	0.495	pos
0.424	0.013	neg
-0.278	0.08	neg
0.426	0.3	neg
-0.079	0.751	pos
-0.314	0.594	neg
-0.343	0.411	neg
-0.121	0.102	neg
0.435	0.983	neg
0.045	0.831	pos
-0.277	0.133	neg
-0.168	0.36	pos
-0.074	0.977	pos
0.135	0.743	pos
0.175	0.305	neg
0.203	0.957	pos
0.365	0.009	neg
0.102	0.669	pos
0.379	0.164	neg
-0.256	0.65	neg
-0.283	0.011	neg
-0.163	0.464	pos
0.422	0.412	neg
-0.212	0.184	neg
0.229	0.34	neg
-0.227	0.034	neg
0.43	0.191	neg
0.259	0.421	neg
-0.286	0.801	neg
-0.385	0.192	neg
-0.13	0.406	pos
-0.493	0.38	neg
0.462	0.68	neg
-0.277	0.084	neg
0.258	0.029	neg
0.002	0.433	pos
0.079	0.328	pos
-0.198	0.313	neg
0.15	0.314	pos
-0.379	0.263	neg
-0.335	0.812	neg
-0.321	0.71	neg
0.106	0.019	neg
0.129	0.977	pos
-0.182	0.36	pos
-0.179	0.443	pos
-0.412	0.82	neg
0.287	0.539	neg
-0.436	0.229	neg
0.069	0.269	pos
-0.286	0.821	pos
0.014	0.454	pos
-0.054	0.601	pos
0.391	0.074	neg
-0.441	0.294	neg
-0.495	0.163	neg
0.438	0.148	neg
0.352	0.917	neg
-0.035	0.899	pos
0.148	0.639	pos
-0.459	0.196	neg
0.181	0.552	pos
0.017	0.11	pos
-0.009	0.72	pos
0.479	0.481	neg
0.154	0.401	pos
0.022	0.104	pos
-0.338	0.623	neg
-0.071	0.504	pos
-0.015	0.375	pos
0.167	0.759	pos
0.278	0.039	neg
-0.463	0.583	neg
0.348	0.778	neg
-0.09	0.647	pos
0.418	0.288	neg
-0.006	0.761	pos
0.392	0.858	neg
0.104	0.089	neg
-0.194	0.067	neg
-0.239	0.142	neg
0.121	0.711	pos
0.272	0.266	neg
-0.476	0.597	neg
-0.087	0.866	pos
-0.245	0.751	pos
0.196	0.266	neg
0.315	0.564	neg
-0.163	0.685	pos
0.195	0.736	pos
0.214	0.959	pos
-0.416	0.249	neg
0.261	0.423	neg
0.148	0.016	neg
-0.476	0.508	neg
0.129	0.812	pos
0.206	0.017	neg
-0.411	0.215	neg
0.333	0.242	neg
-0.196	0.446	pos
-0.253	0.053	neg
-0.276	0.293	neg
-0.315	0.234	neg
-0.437	0.07	neg
0.269	0.943	pos
-0.377	0.028	neg
0.186	0.587	pos
-0.27	0.797	pos
-0.41	0.318	neg
-0.123	0.721	pos
0.372	0.092	neg
0.377	0.235	neg
0.445	0.424	neg
0.366	0.352	neg
0.136	0.701	pos
-0.18	0.932	pos
0.167	0.709	pos
-0.056	0.99	pos
0.264	0.575	neg
0.177	0.843	pos
0.42	0.747	neg
0.179	0.642	pos
-0.367	0.263	neg
-0.232	0.747	pos
-0.466	0.778	neg
-0.251	0.892	pos
0.405	0.268	neg
-0.34	0.544	neg
0.283	0.997	pos
-0.343	0.758	neg
-0.454	0.871	neg
0.432	0.185	neg
-0.121	0.19	pos
-0.415	0.024	neg
-0.46	0.321	neg
-0.287	0.651	neg
0.442	0.48	neg
0.031	0.61	pos
0.497	0.153	neg
-0.343	0.321	neg
0.413	0.898	neg
-0.312	0.797	neg
0.281	0.974	pos
0.06	0.836	pos
0.497	0.353	neg
-0.355	0.115	neg
0.273	0.412	neg
-0.441	0.903	neg
-0.319	0.392	neg
0.195	0.038	neg
0.225	0.049	neg
0.019	0.5	pos
0.435	0.074	neg
0.016	0.791	pos
-0.133	0.947	pos
-0.082	0.998	pos
0.485	0.551	neg
-0.074	0.262	pos
-0.282	0.925	pos
0.018	0.783	pos
-0.348	0.85	neg
0.484	0.488	neg
-0.294	0.41	neg
-0.432	0.383	neg
-0.217	0.529	pos
0.481	0.109	neg
0.422	0.57	neg
-0.425	0.484	neg
0.383	0.363	neg
0.431	0.75	neg
0.134	0.771	pos
0.364	0.415	neg
-0.473	0.244	neg
0.394	0.133	neg
-0.214	0.891	pos
-0.167	0.986	pos
0.07	0.909	pos
-0.269	0.533	neg
-0.464	0.011	neg
-0.07	0.242	pos
-0.416	0.541	neg
-0.17	0.471	pos
0.286	0.028	neg
-0.379	0.535	neg
0.253	0.609	neg
0.213	0.684	pos
-0.39	0.271	neg
-0.451	0.658	neg
0.285	0.975	pos
-0.473	0.344	neg
-0.014	0.663	pos
-0.091	0.122	pos
0.292	0.406	neg
0.426	0.134	neg
-0.238	0.656	pos
0.174	0.076	neg
-0.308	0.117	neg
0.483	0.488	neg
0.252	0.916	pos
0.198	0.926	pos
-0.218	0.621	pos
-0.014	0.658	pos
-0.047	0.167	pos
-0.219	0.355	neg
0.171	0.227	neg
0.116	0.814	pos
0.092	0.143	pos
-0.209	0.127	neg
-0.111	0.066	neg
0.405	0.65	neg
0.091	0.263	pos
0.044	0.73	pos
-0.139	0.519	pos
0.453	0.274	neg
0.303	0.369	neg
0.448	0.473	neg
0.316	0.103	neg
-0.474	0.196	neg
-0.383	0.423	neg
-0.252	0.617	neg
-0.339	0.431	neg
0.189	0.933	pos
0.442	0.134	neg
0.33	0.714	neg
-0.232	0.335	neg
0.187	0.678	pos
0.104	0.69	pos
0.305	0.403	neg
-0.046	0.741	pos
-0.092	0.056	neg
0.249	0.578	neg
0.407	0.939	neg
-0.161	0.571	pos
0.128	0.857	pos
-0.38	0.437	neg
0.363	0.543	neg
0.45	0.625	neg
-0.178	0.475	pos
0.355	0.309	neg
0.299	0.021	neg
0.305	0.81	neg
-0.348	0.907	neg
0.375	0.776	neg
-0.396	0.186	neg
0.28	0.692	neg
-0.438	0.16	neg
-0.08	0.419	pos
0.296	0.988	pos
0.017	0.794	pos
0.332	0.588	neg
-0.191	0.117	neg
-0.223	0.191	neg
0.205	0.661	pos
-0.481	0.591	neg
-0.389	0.927	neg
0.21	0.71	pos
-0.334	0.166	neg
0.236	0.626	pos
0.323	0.88	neg
0.115	0.536	pos
0.013	0.283	pos
0.485	0.052	neg
-0.14	0.215	pos
0.086	0.564	pos
0.494	0.827	neg
0.113	0.937	pos
0.047	0.059	pos
-0.034	0.233	pos
-0.289	0.21	neg
0.481	0.754	neg
0.019	0.935	pos
-0.176	0.476	pos
0.265	0.178	neg
0.471	0.767	neg
-0.308	0.011	neg
0.339	0.489	neg
0.253	0.436	neg
0.474	0.278	neg
-0.359	0.323	neg
0.33	0.881	neg
0.492	0.056	neg
0.419	0.195	neg
-0.368	0.584	neg
0.144	0.863	pos
0.002	0.881	pos
0.459	0.101	neg
-0.279	0.779	pos
0.375	0.541	neg
-0.255	0.252	neg
0.49	0.814	neg
-0.22	0.923	pos
-0.382	0.284	neg
0.174	0.47	pos
0.239	0.372	neg
-0.328	0.713	neg
-0.083	0.587	pos
0.128	0.101	neg
0.254	0.583	neg
-0.173	0.322	pos
-0.026	0.821	pos
0.356	0.74	neg
0.226	0.599	pos
0.037	0.55	pos
0.249	0.92	pos
0.187	0.538	pos
-0.427	0.696	neg
-0.085	0.971	pos
-0.462	0.374	neg
-0.405	0.898	neg
-0.13	0.285	pos
-0.36	0.011	neg
-0.016	0.691	pos
0.114	0.722	pos
-0.487	0.039	neg
0.113	0.319	pos
-0.176	0.525	pos
0.171	0.529	pos
-0.041	0.611	pos
-0.28	0.139	neg
-0.378	0.996	neg
-0.193	0.94	pos
-0.362	0.717	neg
0.159	0.438	pos
-0.324	0.263	neg
0.324	0.099	neg
-0.011	0.288	pos
-0.016	0.521	pos
0.07	0.206	pos
0.353	0.895	neg
-0.288	0.408	neg
-0.355	0.734	neg
-0.226	0.993	pos
-0.487	0.662	neg
0.35	0.771	neg
-0.494	0.962	neg
-0.162	0.456	pos
-0.296	0.997	pos
-0.309	0.763	neg
0.049	0.631	pos
0.031	0.539	pos
0.023	0.808	pos
0.346	0.546	neg
-0.323	0.983	neg
0.11	0.166	pos
0.103	0.186	pos
-0.353	0.502	neg
-0.37	0.713	neg
0.016	0.724	pos
-0.023	0.685	pos
0.212	0.42	neg
-0.13	0.155	neg
-0.449	0.11	neg
-0.449	0.786	neg
0.359	0.767	neg
-0.434	0.697	neg
0.018	0.073	pos
0.103	0.354	pos
0.217	0.795	pos
-0.072	0.828	pos
-0.347	0.134	neg
0.002	0.825	pos
0.489	0.535	neg
-0.203	0.117	neg
0.106	0.484	pos
-0.019	0.729	pos
-0.297	0.458	neg
-0.36	0.707	neg
-0.092	0.692	pos
-0.277	0.914	pos
0.354	0.163	neg
-0.399	0.131	neg
-0.313	0.184	neg
-0.124	0.311	pos
-0.309	0.604	neg
0.189	0.359	pos
0.381	0.217	neg
0.116	0.61	pos
-0.313	0.497	neg
-0.085	0.118	pos
0.058	0.751	pos
0.34	0.961	neg
-0.247	0.715	pos
0.085	0.21	pos
0.154	0.686	pos
-0.238	0.852	pos
-0.213	0.252	neg
0.122	0.785	pos
0.244	0.949	pos
0.145	0.038	neg
-0.194	0.142	neg
0.209	0.027	neg
-0.499	0.524	neg
0.047	0.077	pos
0.306	0.524	neg
-0.496	0.32	neg
-0.151	0.604	pos
0.168	0.786	pos
0.444	0.161	neg
0.483	0.179	neg
0.01	0.992	pos
-0.133	0.973	pos
0.073	0.249	pos
-0.075	0.614	pos
0.285	0.011	neg
-0.342	0.112	neg
-0.05	0.009	neg
-0.14	0.004	neg
-0.407	0.001	neg
-0.102	0.298	pos
-0.282	0.782	neg
0.276	0.122	neg
-0.075	0.912	pos
-0.375	0.801	neg
0.143	0.727	pos
-0.322	0.255	neg
-0.061	0.444	pos
-0.37	0.551	neg
-0.145	0.783	pos
-0.033	0.677	pos
-0.224	0.077	neg
-0.325	0.399	neg
0.203	0.33	neg
0.438	0.5	neg
-0.453	0.143	neg
-0.01	0.199	pos
0.44	0.837	neg
0.241	0.097	neg
0.497	0.352	neg
0.456	0.529	neg
-0.256	0.741	pos
-0.109	0.672	pos
-0.333	0.638	neg
0.314	0.909	neg
-0.463	0.204	neg
-0.401	0.489	neg
-0.169	0.092	neg
-0.464	0.78	neg
-0.357	0.859	neg
-0.402	0.223	neg
-0.412	0.158	neg
0.097	0.472	pos
0.414	0.904	neg
0.133	0.806	pos
0.499	0.873	neg
0.436	0.049	neg
0.43	0.596	neg
0.367	0.636	neg
-0.084	0.199	pos
-0.305	0.417	neg
-0.073	0.99	pos
0.024	0.918	pos
0.231	0.728	pos
0.394	0.495	neg
-0.315	0.252	neg
-0.085	0.876	pos
0.298	0.162	neg
0.146	0.337	pos
0.445	0.626	neg
-0.333	0.386	neg
-0.334	0.739	neg
0.07	0.049	neg
-0.293	0.783	neg
0.045	0.23	pos
-0.477	0.501	neg
-0.423	0.03	neg
-0.421	0.907	neg
0.131	0.162	neg
0.122	0.264	pos
-0.357	0.214	neg
-0.436	0.661	neg
-0.339	0.642	neg
-0.377	0.889	neg
-0.462	0.2	neg
-0.484	0.024	neg
-0.455	0.205	neg
-0.484	0.148	neg
0.349	0.075	neg
0.046	0.336	pos
-0.379	0.112	neg
0.496	0.269	neg
-0.106	0.865	pos
0.122	0.339	pos
-0.301	0.432	neg
-0.381	0.723	neg
0.204	0.834	pos
0.467	0.327	neg
0.071	0.406	pos
-0.185	0.699	pos
-0.284	0.267	neg
-0.189	0.483	pos
0.145	0.185	neg
-0.235	0.052	neg
0.04	0.621	pos
0.008	0.743	pos
0.112	0.741	pos
-0.304	0.452	neg
-0.342	0.937	neg
-0.314	0.865	neg
-0.209	0.551	pos
0.131	0.543	pos
0.26	0.457	neg
-0.293	0.518	neg
0.165	0.721	pos
0.301	0.916	pos
-0.035	0.758	pos
0.317	0.307	neg
0.055	0.355	pos
-0.308	0.744	neg
0.039	0.065	pos
0.342	0.015	neg
0.411	0.149	neg
0.219	0.97	pos
0.137	0.207	pos
-0.302	0.35	neg
0.245	0.273	neg
0.296	0.859	neg
-0.02	0.333	pos
-0.276	0.224	neg
0.192	0.012	neg
-0.027	0.972	pos
0.271	0.038	neg
-0.155	0.942	pos
0.355	0.224	neg
0.1	0.339	pos
0.238	0.273	neg
-0.02	0.462	pos
0.118	0.669	pos
-0.435	0.564	neg
0.349	0.907	neg
-0.237	0.496	neg
0.094	0.88	pos
-0.5	0.713	neg
0.066	0.374	pos
-0.155	0.249	pos
-0.234	0.303	neg
0.084	0.031	neg
0.223	0.762	pos
-0.116	0.741	pos
0.007	0.817	pos
-0.423	0.188	neg
0.447	0.898	neg
0.396	0.875	neg
0.19	0.874	pos
-0.4	0.749	neg
-0.269	0.516	neg
0.422	0.674	neg
0.126	0.917	pos
-0.371	0.596	neg
0.354	0.107	neg
0.21	0.543	pos
-0.448	0.366	neg
0.42	0.674	neg
0.211	0.359	neg
-0.451	0.881	neg
-0.034	0.46	pos
-0.263	0.359	neg
0.094	0.048	neg
-0.478	0.285	neg
0.291	0.113	neg
0.447	0.614	neg
0.163	0.387	pos
-0.194	0.635	pos
-0.19	0.792	pos
0.407	0.377	neg
-0.275	0.906	pos
-0.136	0.22	pos
0.346	0.37	neg
0.164	0.654	pos
-0.39	0.614	neg
0.288	0.443	neg
0.005	0.46	pos
-0.003	0.398	pos
0.413	0.364	neg
-0.336	0.918	neg
-0.034	0.012	pos
-0.059	0.795	pos
-0.198	0.108	neg
0.198	0.363	neg
0.205	0.75	pos
0.203	0.321	neg
0.292	0.489	neg
0.405	0.308	neg
-0.4	0.32	neg
-0.168	0.803	pos
0.269	0.597	neg
0.37	0.643	neg
0.025	0.837	pos
0.342	0.242	neg
0.088	0.22	pos
0.093	0.97	pos
0.049	0.023	neg
0.324	0.4	neg
-0.448	0.796	neg
0.164	0.119	neg
0.476	0.57	neg
-0.203	0.144	neg
-0.103	0.926	pos
-0.173	0.396	pos
-0.332	0.61	neg
-0.229	0.371	neg
-0.441	0.596	neg
0.452	0.479	neg
0.12	0.607	pos
-0.211	0.941	pos
-0.447	0.278	neg
-0.042	0.466	pos
-0.376	0.874	neg
-0.29	0.611	neg
0.063	0.174	pos
-0.219	0.199	neg
0.122	0.045	neg
0.392	0.139	neg
0.244	0.247	neg
0.303	0.931	pos
0.092	0.236	pos
0.308	0.965	pos
0.41	0.732	neg
0.367	0.923	neg
0.46	0.913	neg
0.371	0.381	neg
0.031	0.103	pos
0.403	0.929	neg
0.454	0.261	neg
-0.129	0.077	neg
0.444	0.991	neg
0.384	0.548	neg
0.431	0.612	neg
-0.01	0.837	pos
0.132	0.029	neg
-0.321	0.118	neg
0.21	0.178	neg
-0.105	0.949	pos
0.243	0.021	neg
-0.252	0.631	neg
0.412	0.459	neg
0.077	0.607	pos
0.036	0.881	pos
-0.11	0.47	pos
0.345	0.415	neg
0.217	0.155	neg
-0.133	0.232	pos
0.333	0.493	neg
-0.203	0.784	pos
-0.414	0.029	neg
0.059	0.797	pos
-0.086	0.098	pos
0.447	0.532	neg
-0.45	0.986	neg
-0.297	0.931	pos
0.437	0.125	neg
0.339	0.207	neg
0.225	0.48	neg
-0.202	0.317	neg
-0.304	0.082	neg
-0.117	0.925	pos
0.071	0.399	pos
0.217	0.73	pos
-0.427	0.803	neg
-0.083	0.694	pos
-0.165	0.184	neg
-0.215	0.959	pos
0.192	0.795	pos
-0.292	0.511	neg
-0.437	0.432	neg
0.015	0.314	pos
-0.396	0.95	neg
-0.239	0.922	pos
0.304	0.4	neg
0.093	0.07	neg
0.237	0.543	neg
0.224	0.837	pos
0.036	0.479	pos
0.49	0.122	neg
0.168	0.535	pos
-0.081	0.498	pos
-0.036	0.239	pos
0.217	0.209	neg
0.442	0.564	neg
0.328	0.781	neg
0.056	0.491	pos
-0.431	0.251	neg
0.001	0.482	pos
-0.35	0.513	neg
-0.042	0.703	pos
0.084	0.873	pos
-0.093	0.642	pos
-0.496	0.173	neg
-0.12	0.52	pos
-0.248	0.812	pos
0.087	0.292	pos
0.139	0.086	neg
-0.309	0.496	neg
-0.178	0.259	neg
0.292	0.085	neg
0.059	0.408	pos
-0.397	0.311	neg
-0.128	0.967	pos
-0.492	0.257	neg
0.335	0.846	neg
0.276	0.47	neg
-0.024	0.826	pos
-0.084	0.445	pos
-0.247	0.336	neg
0.244	0.483	neg
0.359	0.799	neg
-0.003	0.266	pos
-0.29	0.22	neg
0.429	0.567	neg
0.149	0.62	pos
-0.297	0.805	neg
0.429	0.577	neg
-0.332	0.399	neg
0.357	0.751	neg
0.386	0.823	neg
0.26	0.129	neg
0.308	0.703	neg
0.15	0.639	pos
-0.266	0.328	neg
-0.197	0.977	pos
0.118	0.456	pos
0.208	0.46	pos
0.487	0.963	neg
0.15	0.099	neg
0.455	0.37	neg
-0.166	0.478	pos
0.02	0.03	pos
-0.044	0.232	pos
0.031	0.72	pos
0.014	0.803	pos
-0.096	0.722	pos
-0.112	0.003	neg
-0.382	0.793	neg
0.028	0.325	pos
-0.196	0.512	pos
0.111	0.672	pos
0.331	0.003	neg
0.286	0.11	neg
0.372	0.826	neg
0.095	0.858	pos
0.25	0.651	pos
0.342	0.437	neg
0.267	0.245	neg
0.021	0.429	pos
-0.057	0.941	pos
-0.192	0.573	pos
0.1	0.861	pos
0.346	0.463	neg
0.238	0.772	pos
0.026	0.239	pos
-0.312	0.624	neg
-0.24	0.207	neg
-0.169	0.692	pos
-0.13	0.322	pos
0.174	0.574	pos
0.434	0.819	neg
-0.327	0.024	neg
-0.278	0.269	neg
0.013	0.357	pos
0.265	0.253	neg
-0.43	0.965	neg
0.169	0.368	pos
-0.49	0.33	neg
0.355	0.942	neg
0.185	0.385	pos
0.019	0.692	pos
-0.129	0.741	pos
-0.202	0.832	pos
-0.368	0.845	neg
0.259	0.151	neg
0.012	0.313	pos
-0.416	0.892	neg
0.301	0.061	neg
-0.451	0.566	neg
0.489	0.9	neg
0.193	0.772	pos
-0.094	0.256	pos
-0.002	0.195	pos
0.091	0.756	pos
0.45	0.399	neg
0.457	0.631	neg
0.489	0.993	neg
-0.402	0.981	neg
0.382	0.799	neg
-0.066	0.069	pos
-0.091	0.526	pos
0.44	0.076	neg
-0.188	0.587	pos
-0.291	0.881	pos
0.158	0.27	pos
0.236	0.071	neg
0.342	0.063	neg
0.29	0.627	neg
0.341	0.068	neg
0.283	0.855	pos
-0.393	0.103	neg
0.367	0.082	neg
0.215	0.655	pos
0.311	0.508	neg
-0.15	0.275	pos
0.287	0.402	neg
0.332	0.128	neg
-0.495	0.566	neg
-0.499	0.961	neg
0.086	0.595	pos
-0.482	0.382	neg
-0.214	0.709	pos
-0.456	0.775	neg
